星5段階評価,店名,ジャンル,予約・ お問い合わせ,予約可否,住所,交通手段,営業時間,Dinner,Lunch,支払い方法,サービス料・チャージ
3.00,黄鶴楼 餃子酒場,中華料理、餃子、刀削麺,050-5456-5070,予約可,東京都足立区綾瀬2-24-4 幸和ハイツ 1F,綾瀬駅東口から徒歩3分 綾瀬駅から145m,月・火・水・木・金・土・日・祝日・祝前日・祝後日 11:00 - 15:00 L.O. 15:00 17:00 - 00:00 L.O. 料理23:30 ドリンク00:00,Non-Info,Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）,なし
3.05,台湾料理 海鮮館（海鮮館酒場）,台湾料理、刀削麺,03-6324-9155,Non-Info,東京都墨田区東向島5-7-15 1F,東向島駅から67m,火・水・木・金・土・日 11:30 - 14:00 17:30 - 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,Non-Info,～￥999,QRコード決済可,
3.13,天福 餃子酒場,中華料理、餃子、刀削麺,03-6324-9155,予約可,東京都墨田区東向島5-7-15,東向島駅 徒歩30秒 東向島駅から67m,月・水・木・金・土・日・祝日 11:00 - 15:00 L.O. 14:45 17:00 - 23:00 L.O. 22:45 火 定休日 ■ 定休日火曜日混雑時は、2時間迄のお席になります。ご理解の程よろしくお願い致します。,Non-Info,～￥999,カード可 （VISA、JCB） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,なし
